,Query,idx,expected_output,actual_output,similarity_score,inference_time,input_token,output_token
0,"Search for objects with the query ""important-customer"" retrieve work items related to those objects with high severity, summarize the objects, prioritize them, find the ID of the current sprint, and add the prioritized items to the sprint.",49,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",[],0,4.623231649398804,2241,247
1,"Search for objects related to the part numbers PART-003 and PART-004 retrieve high-severity issues associated with them, and create a summary.",14,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': ['PART-003', 'PART-004']}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'issue.priority', 'argument_value': ['p0']}, {'argument_name': 'type', 'argument_value': ['issue']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",[],0,1.4174797534942627,2144,280
2," Retrieve work items owned by users DEVU-123 and DEVU-456, get similar work items to task-789, summarize those objects, create actionable tasks from the summary, and find the ID of the current user.",36,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123', 'DEVU-456']}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'who_am_i', 'arguments': []}]",[],0,0.27759647369384766,2200,0
3,"Search for objects with the query customer-xyz, retrieve work items related to those objects with medium severity, summarize the objects, and prioritize them.",39,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer-xyz'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['medium']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]",[],0,2.7102549076080322,2160,296
4,Get the current sprint ID and retrieve work items in that sprint owned by user DEVU-123.,4,"[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123']}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",[],0,1.2432870864868164,2090,75
5,"Search for objects with the query ""important-customer"", retrieve work items related to those objects with high severity, summarize the objects, prioritize them, and get the ID of the current sprint.",37,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}]",[],0,1.4264674186706543,2200,205
6,"Retrieve work items with priorities ""p0"" and ""p1"" and summarize them.",42,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.priority', 'argument_value': ['p0', 'p1']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",[],0,3.7668802738189697,2071,93
7,"Search for objects related to the customer ""ImportantClient"", retrieve work items created by users DEVU-789 and DEVU-987, prioritize them by severity, and add the high-priority ones to the current sprint. Additionally, find similar work items to the highest priority one and create actionable tasks from their text.",18,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'ImportantClient'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': ['DEVU-789', 'DEVU-987']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'prioritize_objects'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'get_similar_work_items'}]}]",[],0,1.8531579971313477,2317,324
8,"Get my work items in the ""Completed"" stage, summarizing them.",27,"[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'stage.name', 'argument_value': ['Completed']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",[],0,1.2359802722930908,2063,93
9,Add work items with IDs work-1 and work-2 to the sprint with ID sprint-123.,31,"[{'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': ['work-1', 'work-2']}, {'argument_name': 'sprint_id', 'argument_value': 'sprint-123'}]}]",[],0,1.6080501079559326,2077,121
